dimension,format,definition,impression,click,web to app auto redirect,branch cta view,sms sent,open,install,reinstall,web session start,pageview,commerce event,custom event,content event,user lifecycle event,dismissal,Webhook Record
,,,"Loading of a user generated and placed impression pixel for the purpose of creating an attributing event from a marketing effort. By this definition, no automated renders from Branch (e.g. Journeys, Deepviews) are impressions, nor are views of content in the app.",A user initiated action of tapping on a Branch link or html element directly in front of a Branch link,"A web to app auto redirect works by simulating the action of a user clicking a link, but without user interaction. Technically this is implemented using ""open_app=true"" in our web to app products. Currently, this only exists on Journeys (+ banners + Web SDK Deepviews).","The loading of a visual element or webpage that includes a Branch-created CTA, powered by a Branch link. Today, this includes loading Journeys and Deepviews.",An successfully triggered call to send an SMS (not necessarily receipt of the SMS),"A mobile app launch that is not an install (ie not a first time app launch for that persona). An ""open"" ends when an app is backgrounded or closed.",The first time an app launches for a given IDFA/AAID. (Excludes cases where the IDFA is reset with the app still installed.),When an app is deleted then re-installed on the same device (same device is defined as same IDFA/AAID).,"A 'web session start' event occurs the first time a user visits the site within a specific tab of their browser. After that, when a user is browsing within the same tab, the WebSDK will only fire a 'web session start' on page load if there is a _branch_match_id query param in the URL (the user was referred to the page by a Branch link). ","A pageview is the loading of a single page for a given website which is triggered more specifically, by calling branch.init() or branch.track('pageview')","A standard event where a customer is on a journey to pay money to a business. It excludes views, but includes adding to cart through to purchasing. [Uses Branch event tracking code or the Data Ingestion pipeline. Each event within it is a point in time action.]",Custom event is a non-standard user tracked event. [Uses Branch event tracking code or the Data Ingestion pipeline. Each event within it is a point in time action.],"A standard event involving content that may or may not be a product, but excludes events where a customer is on a journey to pay money to a business (adding to cart to purchasing). [Uses Branch event tracking code. Each event within it is a point in time action.]",A standard event not involving content. [Uses Branch event tracking code. Each event within it is a point in time action.],"A dismissal is the removal/closing of a banner/interstitial/button for a journey view for a given website which is triggered by calling branch.closeJourney (currently used for journey only, could be used for other fieatures as well).","Upon a webhook firing, a record of that firing including a subset of information about the event that caused it to fire and the success/failure of that request."
,,,"total, unique","total, unique","total, unique","total, unique","total, unique","total, unique","total, unique","total, unique","total, unique","total, unique","total, unique, revenue","total, unique","total, unique","total, unique","total, unique",
last_attributed_touch_data_tilde_feature,string,"feature specified for the last attributed touch. can be specified on links by the client, or prefilled automatically server side in some cases.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_tilde_stage,string,"stage specified for the last attributed touch. can be specified on links by the client, or prefilled automatically server side in some cases.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_tilde_tags,array[string],"tags specified for the last attributed touch. can be specified on links by the client, or prefilled automatically server side in some cases.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_tilde_advertising_partner_name,string,"human-readable advertising partner name specified for the last attributed touch. set automatically server side.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_tilde_secondary_publisher,string,"secondary publisher specified for the last attributed touch. set automatically server side.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_tilde_creative_name,string,"creative name specified for the last attributed touch. set automatically server side.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_tilde_creative_id,string,"creative id specified for the last attributed touch. set automatically server side.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_tilde_ad_set_name,string,"ad set name specified for the last attributed touch. set automatically server side.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_tilde_ad_set_id,string,"ad set id specified for the last attributed touch. set automatically server side.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_tilde_ad_name,string,"ad name specified for the last attributed touch. set automatically server side.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_tilde_ad_id,string,"ad id specified for the last attributed touch. set automatically server side.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_tilde_keyword,string,"keyword specified for the last attributed touch. set automatically server side.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_tilde_branch_ad_format,string,"Ad format of the last touch. Ad Format chosen upon Branch link creation and set as an analytics tag. e.g. Search, Display, Product Ad, App only.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_tilde_technology_partner,string,"Technology partner of last touch, as set with an analytics tag. Any third party that's used to enhance a campaign (e.g. audiences being provided, creative optimization), with the exception of agencies",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_tilde_banner_dimensions,string,"Dimensions of display banner of the last touch, as set with an analytics tag.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_tilde_placement,string,"Placement of the last touch, as set with an analytics tag. Actual app or website the ad appears on display campaigns",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_tilde_keyword_id,string,"Unique ID for keyword of the last touch as provided by Google.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_tilde_agency,string,"Agency of the last touch, as set with an analytics tag. Agency that runs ad campaigns on behalf of advertiser.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_tilde_optimization_model,string,"Optimization model of the last touch, as set with an analytics tag. Model detailing the event for which the campaign is optimizing, e.g. for installs, clicks, events",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_tilde_secondary_ad_format,string,"Secondary ad format of the last touch, as set with an analytics tag or during ad link creation flow in the dashboard. Ad Partner Specific Ad format, such as Display Engagement Ad for Google.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_tilde_journey_id,string,"Audience rule id for a Journey. set automatically server side.",n,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_tilde_journey_name,string,"""Campaign Name"" or ""title"" for an audience rule / Journey. can be specified on links by the client, or prefilled automatically server side in some cases.",n,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_tilde_view_id,string,"Branch view id for a Journey. set automatically server side.",n,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_tilde_view_name,string,"""View Name"" or ""title"" for a branch view / template. can be specified on links by the client, or prefilled automatically server side in some cases.",n,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_plus_referring_domain,string,"Domain of the URL that the user visited before landing on a page with a Journey. This should use the same data source that we use for the ""came directly from a URL"" audience filter. specified by the client.",n,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_plus_current_feature,"enum { EMAIL, ADS, DESKTOP_JOURNEYS, MOBILE_JOURNEYS, DESKTOP_DEEPVIEWS, MOBILE_DEEPVIEWS, SOCIAL, QUICK_LINKS }","Branch feature (determined by Branch) of the current touch. set automatically server side.",y,y,y,y,y,n,n,n,n,n,n,n,n,n,n,y,
last_attributed_touch_data_plus_via_features,"enum { EMAIL, ADS, DESKTOP_JOURNEYS, MOBILE_JOURNEYS, DESKTOP_DEEPVIEWS, MOBILE_DEEPVIEWS, SOCIAL, QUICK_LINKS }","All Branch features (determined by Branch) which were determined, via attribution, to have led to this event. For example, if an email link click leads to a Journey which leads to the app, the published eo_open will have +via_features: [EMAIL, JOURNEYS]. set automatically server side.",n,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_dollar_3p,string,"advertising partner short-code (e.g. e_rs) specified for the last attributed touch. specified by the client.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_dollar_fb_data_terms_not_signed,boolean,"if the mobile data terms are not signed from facebook. this means we need to hide everything attribution-related from external events. set automatically server side.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_plus_web_format,"enum { AMP, INSTANT_ARTICLES }","set if an event originated with a touch on Google AMP or Facebook Instant Article. specified by the client.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
last_attributed_touch_data_custom_fields,string,"Any deep link data specified for the last touch not captured by the above fields e.g. {foo:true, $deeplink_path: 'id/12'}. ""custom_fields"" should not be surfaced as an independent object. The values should be included in last_attributed_touch_data. specified by the client.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
di_match_click_token,int,"Branch Flow ID. Should be internal only, but used by Tune, Appsflyer and other to match a click to an install, using the Android install referrer. set server side, relayed by the client.",n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,y,
last_cta_view_timestamp,int,"unix timestamp in milliseconds for the last Branch CTA view. set automatically server side.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_id,int,"id for the last Branch CTA view. set automatically server side.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_campaign,string,"campaign (name) specified for the last Branch CTA view. can be specified on links by the client, or prefilled automatically server side in some cases.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_campaign_id,string,"campaign id specified for the last Branch CTA view. set automatically server side.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_channel,string,"channel specified for the last Branch CTA view. can be specified on links by the client, or prefilled automatically server side in some cases.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_feature,string,"feature specified for the last Branch CTA view. can be specified on links by the client, or prefilled automatically server side in some cases.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_stage,string,"stage specified for the last Branch CTA view. can be specified on links by the client, or prefilled automatically server side in some cases.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_tags,array[string],"tags specified for the last Branch CTA view. can be specified on links by the client, or prefilled automatically server side in some cases.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_advertising_partner_name,string,"human-readable advertising partner name specified for the last Branch CTA view. set automatically server side.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_secondary_publisher,string,"secondary publisher specified for the last Branch CTA view. set automatically server side.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_creative_name,string,"creative name specified for the last Branch CTA view. set automatically server side.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_creative_id,string,"creative id specified for the last Branch CTA view. set automatically server side.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_ad_set_name,string,"ad set name specified for the last Branch CTA view. set automatically server side.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_ad_set_id,string,"ad set id specified for the last Branch CTA view. set automatically server side.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_ad_name,string,"ad name specified for the last Branch CTA view. set automatically server side.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_ad_id,string,"ad id specified for the last Branch CTA view. set automatically server side.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_keyword,string,"keyword specified for the last Branch CTA view. set automatically server side.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_branch_ad_format,string,"Ad format of the last touch. Ad Format chosen upon Branch link creation and set as an analytics tag. e.g. Search, Display, Product Ad, App only.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_technology_partner,string,"Technology partner of last touch, as set with an analytics tag. Any third party that's used to enhance a campaign (e.g. audiences being provided, creative optimization), with the exception of agencies",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_banner_dimensions,string,"Dimensions of display banner of the last touch, as set with an analytics tag.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_placement,string,"Placement of the last touch, as set with an analytics tag. Actual app or website the ad appears on display campaigns",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_keyword_id,string,"Unique ID for keyword of the last touch as provided by Google.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_agency,string,"Agency of the last touch, as set with an analytics tag. Agency that runs ad campaigns on behalf of advertiser.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_optimization_model,string,"Optimization model of the last touch, as set with an analytics tag. Model detailing the event for which the campaign is optimizing, e.g. for installs, clicks, events",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_secondary_ad_format,string,"Secondary ad format of the last touch, as set with an analytics tag or during ad link creation flow in the dashboard. Ad Partner Specific Ad format, such as Display Engagement Ad for Google.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_journey_id,string,"Audience rule id for a Journey. set automatically server side.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_journey_name,string,"""Campaign Name"" or ""title"" for an audience rule / Journey. can be specified on links by the client, or prefilled automatically server side in some cases.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_view_id,string,"Branch view id for a Journey. set automatically server side.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_tilde_view_name,string,"""View Name"" or ""title"" for a branch view / template. can be specified on links by the client, or prefilled automatically server side in some cases.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_plus_referring_domain,string,"Domain of the URL that the user visited before landing on a page with a Journey. This should use the same data source that we use for the ""came directly from a URL"" audience filter. specified by the client.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_plus_via_features,"enum { EMAIL, ADS, DESKTOP_JOURNEYS, MOBILE_JOURNEYS, DESKTOP_DEEPVIEWS, MOBILE_DEEPVIEWS, SOCIAL, QUICK_LINKS }","All Branch features (determined by Branch) which were determined, via attribution, to have led to this event. For example, if an email link click leads to a Journeys CTA view, the published eo_branch_cta_view will have +via_features: [EMAIL, JOURNEYS]. set automatically server side.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_dollar_3p,string,"advertising partner short-code (e.g. e_rs) specified for the last Branch CTA view. specified by the client.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_plus_web_format,"enum { AMP, INSTANT_ARTICLES }","set if an event originated with a Branch CTA view on Google AMP or Facebook Instant Article. specified by the client.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
last_cta_view_data_custom_fields,string,"stringified JSON representing custom data specified for the last Branch CTA view e.g. {foo:true}. specified by the client.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
first_event_for_user,boolean,"if this is the first time for this persona that this event has been triggered. set automatically server side.",n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
user_data_os,"enum { AMAZON_FIRE, ANDROID, BADA, BEOS, BLACKBERRY, BSD, CENTOS, CHROMIUM_OS, DEBIAN, DRAGONFLY, FEDORA, FIREFOX_OS, FREEBSD, GENTOO, GNU, IOS, JOLI, KUBUNTU, LINUX, MAC_OS, MANDRIVA, MEEGO, MINT, NETBSD, NINTENDO, OPENBSD, OS_2, OTHER, PLAYSTATION, RIM_TABLET_OS, ROBOTS, SAILFISH, SLACKWARE, SOLARIS, SUSE, SYMBIAN, TIZEN, UBUNTU, UNIX, WINDOWS, WINDOWS_PHONE, ZENWALK }","os of the device where the event occurred. note that robots includes web and app robots for easy filtering. specified by the client.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
user_data_os_version,string,"os version of the device where the event occurred. specified by the client.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
user_data_environment,"enum { FULL_WEB, FULL_APP, IMESSAGE_APP, INSTANT_APP }","runtime environment where the event occurred, which can distinguish between e.g. full app vs instant app. specified by the client.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
user_data_platform,"enum { DESKTOP_WEB, IOS_WEB, IOS_APP, ANDROID_WEB, ANDROID_APP, OTHER, ROBOT }","convenience dimension that allows users to easily see web vs app, desktop vs mobile, and iOS vs Android vs other. derived from information specified by the client.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
user_data_aaid,string,"Android/Google advertising id of the device where the event occurred. specified by the client.",y,y,n,n,n,y,y,y,n,n,y,y,y,y,n,y,
user_data_idfa,string,"iOS advertising id of the device where the event occurred. specified by the client.",y,y,n,n,n,y,y,y,n,n,y,y,y,y,n,y,
user_data_idfv,string,"iOS vendor id of the device where the event occurred. Scoped to a vendor e.g. Facebook: idfv is the same for Facebook and Messenger but different Twitter. specified by the client.",n,y,n,n,n,y,y,y,n,n,y,y,y,y,n,y,
user_data_android_id,string,"Android hardware id. Can only be reset by wiping the device. specified by the client.",n,y,n,n,n,y,y,y,n,n,y,y,y,y,n,y,
user_data_limit_ad_tracking,boolean,"true if the partner has opted to not be tracked by advertisers. on iOS 10+, accompanied by idfa of 0s. specified by the client.",y,n,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
user_data_user_agent,string,"user agent of the browser or app where the event occurred. Usually associated with a webview. specified by the client.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
user_data_ip,string,"IP address from which the API call tracking the event originated. set automatically server side.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
user_data_developer_identity,string,"developer-specified identity for a user. specified by the client.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
user_data_language,string,"language specified in the user_agent string (or in some cases other headers), specified by the client.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
user_data_brand,string,"brand of the device where the event occurred. specified by the client.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
user_data_sdk_version,string,"Branch SDK version used to track this event. specified by the client.",n,y,n,n,n,y,y,y,y,y,y,y,y,y,y,y,
user_data_app_version,string,"app version where the event occurred. specified by the client.",n,y,n,n,n,y,y,y,n,n,y,y,y,y,n,y,
user_data_model,string,"model of the device where the event occurred. specified by the client.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
user_data_geo_country_code,string,"country code, derived from IP address (above), set automatically server side.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
user_data_geo_dma_code,int,"dma code, derived from IP address (above). https://support.google.com/richmedia/answer/2745487?hl=en, set automatically server side.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,
event_data_transaction_id,string,"partner-specified transaction id for their internal use. specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,y,n,y,
event_data_revenue,double,"partner-specified revenue for the event. specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,y,n,y,
event_data_revenue_in_usd,double,"revenue in USD, based off of revenue, currency, and exchange rate. specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,y,n,y,
event_data_exchange_rate,double,"exchange rate from the time the event occurred (may be up to 24 hours old but is typically updated within the hour). specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,y,n,y,
event_data_currency,string,"Currency that revenue, price, shipping, tax were orginally reported in by the partner. specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,y,n,y,
event_data_shipping,double,"Shipping cost associated with the transaction. specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,y,n,y,
event_data_tax,double,"Total tax associated with the transaction. specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,y,n,y,
event_data_coupon,string,"Transaction coupon redeemed with the transaction (e.g. ""SPRING2017""). specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,y,n,y,
event_data_affiliation,string,"Store or affiliation from which this transaction occurred (e.g. Google Store). specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,y,n,y,
event_data_search_query,string,"Search query associated with the event. specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,y,n,y,
event_data_description,string,"Description associated with the event, not necessarily specific to any individual content items. specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,y,n,y,
content_items[].dollar_content_schema,"enum { COMMERCE_AUCTION, COMMERCE_BUSINESS, COMMERCE_OTHER, COMMERCE_PRODUCT, COMMERCE_RESTAURANT, COMMERCE_SERVICE, COMMERCE_TRAVEL_FLIGHT, COMMERCE_TRAVEL_HOTEL, COMMERCE_TRAVEL_OTHER, GAME_STATE, MEDIA_IMAGE, MEDIA_MIXED, MEDIA_MUSIC, MEDIA_OTHER, MEDIA_VIDEO, OTHER, TEXT_ARTICLE, TEXT_BLOG, TEXT_OTHER, TEXT_RECIPE, TEXT_REVIEW, TEXT_SEARCH_RESULTS, TEXT_STORY, TEXT_TECHNICAL_DOC }","category / schema for a piece of content. specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,n,n,y,
content_items[].dollar_locally_indexable,array[boolean],"true: content can be indexed for local (device) use
false: cannot index for local use
specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,n,n,y,
content_items[].dollar_publicly_indexable,array[boolean],"true: content can be seen by anyone
false: cannot index for public use
specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,n,n,y,
content_items[].dollar_exp_date,array[int],"the last time afterwhich this content is no longer valid. null / 0 mean no limit. specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,n,n,y,
content_items[].dollar_creation_timestamp,array[int],"time the content was created. specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,n,n,y,
content_items[].dollar_canonical_identifier,array[string],"used to allow Branch to unify content/messages. specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,n,n,y,
content_items[].dollar_og_title,array[string],"The rendered document title (also for searching) - if a collection then the title for the collection not the individual items. specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,n,n,y,
content_items[].dollar_canonical_url,array[string],"A web URL which refers to the content on the public web (mobile or desktop). Preferably is a permalink, and used as canonical URL elsewhere (main website, AMP pages, etc.). specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,n,n,y,
content_items[].dollar_og_description,array[string],"description (for individual item). specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,n,n,y,
content_items[].dollar_og_image_url,array[string],"image URL. specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,n,n,y,
content_items[].dollar_keywords,array[string],"any keywords. specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,n,n,y,
content_items[].dollar_price,array[double],"price for the product/content. specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,n,n,y,
content_items[].dollar_quantity,array[double],"quantity of the item to be ordered (for PURCHASE, ADD_TO_CART, etc). specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,n,n,y,
content_items[].dollar_sku,array[string],"product sku or product id. specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,n,n,y,
content_items[].dollar_product_name,array[string],"product's name. specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,n,n,y,
content_items[].dollar_product_brand,array[string],"product's brand. specified by the client.",n,n,n,n,n,n,n,n,n,n,y,n,y,n,n,y,
